author,birth,death
Aimé Césaire,1918,2008
Alain-Fournier,1886,1914
Albert Cohen,1895,1981
Albert Jacquard,1925,2013
Alexandre Dumas,1802,1870
Alexis Carrel,1873,1944
Alexis de Tocqueville,1805,1859
Alfred Jarry,1873,1907
Alfred de Musset,1810,1857
Alfred de Vigny,1797,1863
Alphonse Allais,1854,1905
Alphonse Daudet,1840,1897
Alphonse Karr,1808,1890
Alphonse de Lamartine,1790,1869
Anatole France,1844,1924
André Breton,1896,1966
André Gide,1869,1951
André Malraux,1901,1976
André Maurois,1885,1967
Annie Ernaux,1940,nan
Antoine de Rivarol,1753,1801
Antonin Artaud,1896,1948
Arthur Rimbaud,1854,1891
Auguste Comte,1798,1857
Benjamin Constant,1767,1830
Blaise Pascal,1623,1662
Charles Baudelaire,1821,1867
Charles Perrault,1628,1703
Charles Péguy,1873,1914
Charles de Gaulle,1890,1970
Chrétien de Troyes,1135,1185
Claude Lévi-Strauss,1908,2009
Colette,1873,1954
Comte de Lautréamont,1846,1870
Daniel Pennac,1944,nan
Dany Laferrière,1953,nan
Denis Diderot,1713,1784
Edgar Quinet,1803,1875
Elie Wiesel,1928,2016
Ernest Renan,1823,1892
Eugène Fromentin,1820,1876
Eugène Ionesco,1909,1994
Eustache Deschamps,1340,1410
François Andrieux,1759,1833
François Furet,1927,1997
François Mauriac,1885,1970
François Rabelais,1483,1553
François Villon,1431,1463
François de La Rochefoucauld,1613,1680
François de Malherbe,1555,1628
François-René de Chateaubriand,1768,1848
Françoise Sagan,1935,2004
Frédéric Bastiat,1801,1850
Gaston Bachelard,1884,1962
George Sand,1804,1876
Georges Bataille,1897,1962
Georges Bernanos,1888,1948
Georges Duhamel,1884,1966
Georges Dumézil,1898,1986
Georges Simenon,1903,1989
Guillaume Apollinaire,1880,1918
Gustave Flaubert,1821,1880
Guy de Maupassant,1850,1893
Gérard de Nerval,1808,1855
Henri Barbusse,1873,1935
Henri Michaux,1899,1984
Henri Poincaré,1854,1912
Henri-Frédéric Amiel,1821,1881
Honoré de Balzac,1799,1859
Hubert Reeves,1932,nan
Jacques Bainville,1879,1936
Jacques Prévert,1900,1977
Jacques-Henri Bernardin de Saint-Pierre,1737,1814
Jean Baudrillard,1929,2007
Jean Cocteau,1889,1963
Jean Giraudoux,1882,1944
Jean Racine,1639,1699
Jean Rostand,1894,1977
Jean de La Bruyère,1645,1696
Jean de La Fontaine,1621,1695
Jean-Jacques Rousseau,1712,1778
Jean-Paul Sartre,1905,1980
Jules Michelet,1798,1874
Jules Verne,1828,1905
Louis Althusser,1918,1990
Louis Hémon,1880,1913
Louis-Ferdinand Céline,1894,1961
Léon Bloy,1846,1917
Malcolm de Chazal,1902,1981
Marcel Proust,1871,1922
Marceline Desbordes-Valmore,1786,1859
Marguerite Duras,1914,1996
Marguerite Yourcenar,1903,1987
Maurice Maeterlinck,1862,1949
Michel Houellebecq,1956,1958
Michel Onfray,nan,nan
Michel de Montaigne,1533,1592
Milan Kundera,1929,nan
Molière,1622,1673
Montesquieu,1689,1755
Nostradamus,1503,1566
Paul Claudel,1868,1955
Paul Valéry,1871,1945
Paul Verlaine,1844,1896
Paul Éluard,1895,1962
Paul-Jean Toulet,1867,1920
Pierre Choderlos de Laclos,1741,1803
Pierre Corneille,1606,1684
Pierre Loti,1850,1923
Pierre de Ronsard,1524,1585
Pierre-Joseph Proudhon,1809,1865
Prosper Mérimée,1803,1870
Raymond Radiguet,1903,1923
Renaud Camus,1946,nan
René Char,1907,1988
René Daumal,1908,1944
René Descartes,1596,1650
René Lévesque,1922,1987
Romain Gary,Émile Ajar,1914
Romain Rolland,1866,1944
Samuel Beckett,1906,1989
Simone Weil,1909,1943
Simone de Beauvoir,1908,1986
Stendhal,1783,1842
Stéphane Mallarmé,1842,1898
Théophile Gautier,1811,1872
Tristan Corbière,1845,1875
Valéry Giscard d'Estaing,1926,2020
Victor Hugo,1802,1885
Victor Serge,1890,1947
Voltaire,1694,1778
Émile Augier,1820,1889
Émile Zola,1840,1902
Étienne de La Boétie,1530,1563
